Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
113219467,16350.77337983227,1.1607301885410184,0.33914824925364534,3.4224861578834833,0.000620512571669035,0.0066449720430026855,MIR12136
84808,25.53409096451866,3.2718280871976106,0.693580275974164,4.717302669257981,2.3899201593630215e-06,6.122395955849094e-05,PERM1
8784,13.148404772620676,2.7049018216281557,0.8075191441053986,3.3496442051844504,0.0008091542402803516,0.008330743002284693,TNFRSF18
7293,20.688920817017486,3.7312055254697323,0.6870360760463511,5.430872781734398,5.607910287159529e-08,2.3079666337376553e-06,TNFRSF4
441869,28.330154332541515,2.468018076082831,0.7488674631551481,3.2956673877704774,0.0009818819007729688,0.009820066634033084,ANKRD65
163688,39.292769594618875,1.305804488308928,0.4793342768664319,2.7242042794131223,0.006445662484436457,0.043362230269230216,CALML6
339456,42.300928218942204,1.6251472555033495,0.5907744964537693,2.7508757829909545,0.005943617662513406,0.040697881358541126,TMEM52
85452,27.16909907315375,4.847594312949025,0.7379575890009229,6.568933479648738,5.067691544511857e-11,5.1802337853055616e-09,CFAP74
2563,10.196155999028246,3.4678046262722293,1.0309390153226736,3.3637340082495966,0.0007689561566899184,0.007968997905604144,GABRD
148645,16.93510422273126,2.4941451369639323,0.5846363499416709,4.266147900678384,1.9887696442332015e-05,0.00037049954721324324,ICMT-DT
54626,19.458521767060866,4.595544424448022,0.669881483785918,6.860235035122533,6.8747344328237706e-12,8.981084600955337e-10,HES2
80835,42.122030292576774,4.103924533745852,0.5514992715097135,7.4413961101190145,9.9626718208167e-14,2.1944446654086722e-11,TAS1R1
107984913,257.1493435140503,1.8582199494835392,0.35859083602920255,5.182006238810329,2.1951187102381377e-07,7.8535360764929e-06,LOC107984913
110841581,51.91034768605752,4.226471087521515,0.6119206209943343,6.906894362627872,4.95378529682648e-12,6.751730575120558e-10,CAMTA1-DT
102724552,59.7430771697158,4.003996702520233,0.5124688522714272,7.81315134524416,5.577555547315156e-15,1.8103480293986637e-12,RERE-AS1
100505975,23.29267039160877,1.621638376103123,0.3823975415230048,4.240713393827,2.2281049233619974e-05,0.00040784683376237865,ENO1-AS1
102724571,104.69434996251505,1.288739316226142,0.45753857548258786,2.8166790414706497,0.004852298928967616,0.035063066210607396,LNCTAM34A
105376733,30.641041807562697,8.21779446760149,0.9730125336992662,8.445723136122934,3.021690678922782e-17,1.729725624276452e-14,LOC105376733
57540,195.01759307310445,3.4243158369040803,0.6235822400796381,5.491362031841636,3.988458305828799e-08,1.7201728945303275e-06,DISP3
374946,58.64898826871714,2.254510042807603,0.5524634187370124,4.08083135705463,4.487490619001934e-05,0.0007463505264060057,DRAXIN
101927441,10.97692982010018,1.8177849625933848,0.5939924965850278,3.060282702297024,0.0022112815726702912,0.018795893367697474,EFHD2-AS1
101927479,74.06277599913771,1.519119078949322,0.3442899528454682,4.412324746610211,1.0226656666521965e-05,0.0002104418682933187,EPHA2-AS1
80834,13.871039018360705,3.426904921057302,0.9398380955008802,3.6462715625832947,0.0002660727920066576,0.003346798155628289,TAS1R2
51154,866.2933204386518,1.0338573485643239,0.21133296494792927,4.892078000320764,9.977688451101894e-07,2.8819958091237802e-05,MRTO4
246181,53.131266406932696,2.70339487734115,0.4381816052854929,6.169576369094224,6.847319840904935e-10,5.048735781523442e-08,AKR7L
1650,7065.930905349487,1.1073840346178767,0.18650922456033076,5.937422329798318,2.895381356555834e-09,1.7666315238334085e-07,DDOST
400745,175.78396125165833,2.1792128439782457,0.5257209946640156,4.145188923586673,3.3953365472037316e-05,0.0005841785980230288,SH2D5
100506801,33.33316165779038,1.8796274509874942,0.37302152384700876,5.038924916725195,4.681540825696601e-07,1.4900412012092017e-05,ECE1-AS1
112268223,22.138503965359536,1.376161355557719,0.4395983748393704,3.1304969133713683,0.0017451083323783922,0.015622118492067471,CDC42-AS1
713,10.09745231254028,-5.739677264276666,1.9210362994739885,-2.987802607294971,0.002809909711602384,0.02279631692239035,C1QB
100422914,10.591069472321987,-1.831394487562611,0.6258359175941962,-2.9263173238806046,0.003430008790373243,0.0266701209272616,MIR4253
105376859,21.76017421750552,2.6777012190475102,0.5755809414839318,4.652171442897336,3.2845781678826714e-06,7.97929467882855e-05,LOC105376859
1269,24.034001089853366,5.157100512752497,0.6537020177570169,7.889069289471594,3.0444846242814756e-15,1.0892335671690679e-12,CNR2
864,127.51968851049276,5.388195977825747,0.6833427691187447,7.88505596506786,3.143945822556138e-15,1.1041404646159103e-12,RUNX3
105376878,17.344826853258372,4.506869754800673,0.7131946824510355,6.3192699913464265,2.6280178066841206e-10,2.143536596519245e-08,RUNX3-AS1
57035,3500.7288476818235,1.6250957842900229,0.25993002581400476,6.252051024889577,4.0509698836682795e-10,3.133679012712828e-08,RSRP1
3925,10771.20790434354,1.0025858504415754,0.2560219788626007,3.916014769105559,9.002473545751117e-05,0.0013413813398695134,STMN1
105376888,13.388933964762579,4.954492869290284,0.7873568558433994,6.292563318043558,3.122658853821448e-10,2.5144192162075313e-08,LOC105376888
101928728,127.60046340185251,2.048837147570372,0.3840548850580267,5.3347509100445745,9.567580492830853e-08,3.760620527294464e-06,LOC101928728
126695,14.855595021598873,2.644958422906915,0.5647520598069113,4.683397567086742,2.8215848745519997e-06,7.02251210991266e-05,KDF1
6548,2797.8413614095375,1.570634281578052,0.33189421383289935,4.732334027277824,2.2195277129473727e-06,5.746678496252885e-05,SLC9A1
8547,11.653572779978722,2.5685791137112077,0.7426909332966655,3.458476465182856,0.0005432397321337684,0.0059572830813303945,FCN3
