Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
246181,53.131266406932696,-1.0264011334997643,0.2965985856039785,-3.4605732573189867,0.0005390265491069069,0.04910384408292738,AKR7L
919,46.766632321771496,-1.2259084563227793,0.3480249126610417,-3.5224732820111386,0.00042754013405269333,0.04314412578347903,CD247
105371629,177.93846651185387,-1.0442982866453125,0.2983270001264201,-3.5005154954220603,0.0004643592414143026,0.04548140792296752,LOC105371629
79098,116.52389467345526,-1.2255455066418528,0.3511458243677293,-3.490132650298665,0.0004827808445832764,0.046525481327991565,C1orf116
29841,126.03653341637967,-1.0352153823088892,0.26872594186984705,-3.8523090666485733,0.00011700920619551612,0.02271566255860599,GRHL1
92291,10.659827300100961,1.6551768814828376,0.40175876996984755,4.1198276309116055,3.7915593587782875e-05,0.014384408296448613,CAPN13
8647,27.421385368787302,1.5284280034216184,0.2824199529540024,5.411898088059496,6.236017848202582e-08,0.00018219043250861832,ABCB11
105373828,22.49949298073838,-1.5927419429434204,0.44682173386749374,-3.564602664148276,0.0003644077987220563,0.03986009538503193,LOC105373828
56884,10.878636616212386,2.07542361035808,0.5106221240427775,4.064499974905534,4.813554412512228e-05,0.015226959515330433,FSTL5
401176,65.73949467155053,-1.1652041367209194,0.31310292653971006,-3.721473157719397,0.0001980639223726745,0.030286601109344016,MARCHF11-DT
1769,20.30320035250645,1.3485946645269205,0.3858453088448101,3.4951692650210124,0.0004737612031462213,0.04610096434901104,DNAH8
401261,179.28982580035472,-1.1312798453462152,0.21704594912563244,-5.212167515236129,1.8664688932071922e-07,0.00039957099427366256,LOC401261
5314,12.734541245419281,1.611602900586715,0.4374616416793372,3.683986770588751,0.00022961416322689958,0.032083065095548,PKHD1
154664,24.509656191639042,1.6637328008721375,0.37747113136147203,4.407576269134399,1.0453379626421222e-05,0.0062659648156694085,ABCA13
2086,825.4322239789198,1.1314155794544853,0.2890786275802303,3.9138679636234075,9.082931506994783e-05,0.020468010541063206,ERV3-1
286016,71.21669042551144,-1.2196057335915729,0.32579062735733866,-3.7435261520088683,0.00018145570655754247,0.029082400969177035,TPI1P2
100286938,13.131114505523307,-1.1454397334967557,0.27977137176076783,-4.094199225202426,4.2362994279940185e-05,0.014763503506559155,VPS13A-AS1
105376159,19.25827119921253,-1.534981738852206,0.4000726308371937,-3.8367576798245278,0.00012466937618506554,0.02292310351927975,LOC105376159
100506599,90.1821394431805,-1.145558644374528,0.21497881677520664,-5.328704760582925,9.891563779156354e-08,0.0002470500483542459,PPP1R26-AS1
107984243,43.35359704901274,-1.062721092361492,0.24321506006902213,-4.369470755881244,1.2454801705430403e-05,0.007178516575258743,LOC107984243
4892,3705.4768836936364,-1.2503682562684142,0.3444591986664441,-3.629945901021514,0.0002834806276639151,0.035477179176482763,NRAP
283284,108.53507039229217,-1.220586120189895,0.3177466001443255,-3.8413821568365667,0.00012234346810359686,0.02280090273251105,IGSF22
105369332,216.42610440757173,-1.0470920429084303,0.2569387789405022,-4.075258889398315,4.5963183632543016e-05,0.015226959515330433,STX5-DT
54663,1509.131222768327,-1.0979601538741508,0.24458595312602274,-4.48905646395984,7.153933485814825e-06,0.005360263512583903,WDR74
23642,4787.653410768976,-1.6265005559422097,0.21567690699313127,-7.5413755631891055,4.650396952014499e-14,1.3937704704882655e-09,SNHG1
9304,404.9524255072762,-1.57554449901205,0.26872206895740697,-5.863100507989083,4.543030364248239e-09,3.403979076172099e-05,SNORD22
9298,155.329326869346,-1.5300983703857236,0.26387665903819285,-5.79853624023738,6.689624773511143e-09,4.0098948817380493e-05,SNORD31
9299,29.673922247758675,-1.4991371780966307,0.2610006098823603,-5.743807184099419,9.257119415861077e-09,4.624085433546206e-05,SNORD30
9297,97.64640945636116,-1.456165033124173,0.2696906468245402,-5.39939019120507,6.686779745736884e-08,0.00018219043250861832,SNORD29
9300,35.791660822036484,-1.2432029098027955,0.2919046874319015,-4.258934382795146,2.054037495666231e-05,0.009899538270504342,SNORD28
9301,38.54825625735491,-1.3627268817299178,0.2787477972657908,-4.888744933939458,1.0148087914018858e-06,0.0017891078992415246,SNORD27
9302,37.317654439601746,-1.3203420040705274,0.28345369328703807,-4.658051862931591,3.1921580269972522e-06,0.0032990402836942986,SNORD26
9303,31.77266613346403,-1.1429258982830295,0.2959409355953353,-3.862006775047327,0.00011245944702100791,0.02271566255860599,SNORD25
105369381,43.57671524031809,-1.0239322593050493,0.26635226556462266,-3.844278392505814,0.00012090768800118964,0.022790718975368898,IUR1
642569,14.825169237822255,2.7994440281213517,0.6751429857478961,4.146446141361064,3.3767556348536485e-05,0.013493965750959827,TRIM53AP
101928424,45.131360297259974,-1.4670099524445213,0.3791696124076115,-3.8690071789494285,0.00010927942491711234,0.02271566255860599,TMEM123-DT
2904,43.78423906126428,1.6062300088167842,0.4149936657643722,3.8704928323623617,0.00010861555075170946,0.02271566255860599,GRIN2B
5027,57.5593595840743,1.3607527512263802,0.298763766071697,4.554611053134964,5.248259329013301e-06,0.0045505054029283815,P2RX7
101927415,109.69520575394745,-1.1389806658425627,0.28726270161819945,-3.964944489578674,7.341302921095048e-05,0.018805657251977755,TMED2-DT
23026,26.140185354014477,1.1879073251500414,0.2826703250178493,4.202447940281778,2.6404398513708212e-05,0.011469075766005055,MYO16
101928504,59.8429084319857,-1.0959624289618137,0.29608682782949897,-3.701489988581733,0.0002143371147611174,0.031093352384623622,GTF2A1-AS1
791114,39.70903556265472,-1.3061372536407954,0.3464530025088511,-3.7700272307711535,0.00016322973651261224,0.027511497150372932,PWRN1
