Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
100130417,30.904067572356286,-3.32882468092655,0.9653959479127154,-3.4481444511175012,0.0005644520744557972,0.03161385599854172,LINC02593
388581,31.4860047488068,-1.9795959791190019,0.5994627788500556,-3.3022833926677553,0.0009590112528868392,0.0403890979786675,C1QTNF12
81669,4405.595353885013,-1.0394474171186163,0.20738775778706395,-5.012096317593984,5.384024090468612e-07,0.001249751636377553,CCNL2
1953,1079.2954650411114,-2.3827111429959036,0.5452800544804263,-4.369701630231617,1.244164152229313e-05,0.004813302463744922,MEGF6
102724552,59.7430771697158,-2.177097474500089,0.665907438665897,-3.26936950706207,0.0010778744184923523,0.0424336823999871,RERE-AS1
105376733,30.641041807562697,-3.9238413191588775,1.1879085112480074,-3.303151111390321,0.0009560485382811819,0.0403722629059633,LOC105376733
93611,575.3567577468533,-1.0346486520939147,0.285976054183549,-3.617955548928032,0.0002969393784629831,0.024153336720038724,FBXO44
374946,58.64898826871714,-2.6624353772949974,0.7222824802406037,-3.686141433761619,0.0002276798505604622,0.022197177096518847,DRAXIN
55920,2616.3932050492367,-1.128663958745404,0.3227728879777835,-3.49677435988084,0.0004709199689560636,0.029625429137823362,RCC2
51154,866.2933204386518,-1.008176761575076,0.2739632678177805,-3.679970565417691,0.0002332608768299275,0.02256043045302785,MRTO4
246181,53.131266406932696,-2.337531286186743,0.5796599272475884,-4.0325907938575165,5.5165290771339526e-05,0.011081327783692828,AKR7L
2517,805.1301605005657,-1.3621929029729059,0.39882037897340655,-3.41555490840085,0.0006365219503624652,0.0330436665095312,FUCA1
57035,3500.7288476818235,-1.459360710681303,0.3366830150529436,-4.334524301595129,1.4607565175597412e-05,0.0050244949243100955,RSRP1
2134,439.06729761678656,1.7294864684072706,0.47509890639414637,3.6402661532806664,0.00027235636645029276,0.023112306419286275,EXTL1
101928728,127.60046340185251,-1.7084213120143643,0.5000482274966049,-3.4165130842823825,0.0006342861566873127,0.0330436665095312,LOC101928728
399474,199.55611079630444,-1.786247014237408,0.5432144795594632,-3.2882905030182936,0.0010079777161722775,0.0409682149193678,TMEM200B
81629,264.0727450653042,-1.3232935352185566,0.3076047592495847,-4.301928027533739,1.693183145409825e-05,0.005426329533564494,TSSK3
80149,314.36975076252145,-2.1965833256035467,0.49143186722735294,-4.46976167418002,7.830680297089398e-06,0.003804435862476619,ZC3H12A
8891,329.3422466603874,1.0365385526219644,0.28183953159221947,3.6777614082955683,0.00023528989101213911,0.02264932470612721,EIF2B3
63950,14.96761494020202,-5.30446498033807,1.186504675675952,-4.4706650458971975,7.797674112842655e-06,0.003804435862476619,DMRTA2
1031,292.34597966881284,-1.8786211717866712,0.5614943934597618,-3.3457523239211078,0.0008205965880429052,0.037838289254767614,CDKN2C
100507634,55.58727273799299,-1.936786367294114,0.49723283008972313,-3.895129706026512,9.814619530965115e-05,0.015076265928043547,LOC100507634
9635,26.29436346191719,-3.4398854965952976,0.9583939338389403,-3.589218770215397,0.0003316704205224713,0.02562498502793676,CLCA2
9403,1666.4037810479026,-1.006617052169148,0.28850237311890303,-3.489111861670136,0.000484628298002554,0.029736570855297063,SELENOF
2152,489.2394917430007,-2.6307865101329773,0.5910169628793581,-4.451287653938267,8.535691147408735e-06,0.0038167529182897234,F3
100996740,53.91994235775191,-1.3351940771515403,0.42072148784320806,-3.173581848638861,0.0015057044150062209,0.04922640208747255,LOC100996740
8370,144.0643785721097,-1.2231099986544818,0.37995011075136104,-3.219133154707471,0.0012857876354376622,0.045542810501033565,H4C14
8337,649.1721018535069,-1.5109562565772026,0.41445133236370385,-3.6456783670109068,0.00026668736120441907,0.02283346583164557,H2AC18
723790,648.2401827588508,-1.5133135198237602,0.41447207288630916,-3.6511833216779026,0.00026103482577220777,0.022654384212707643,H2AC19
554313,135.82981450365983,-1.2315383935363522,0.3812652192722734,-3.230135693696393,0.0012373147873052696,0.04464377067632882,H4C15
8338,96.73400797867002,-1.934679516028912,0.48506630643630694,-3.9884846470633,6.649670562757394e-05,0.012079849367527366,H2AC20
317772,41.08239035842572,-3.2991085854019997,0.9382547203908621,-3.516218478525366,0.0004377406112178822,0.02896515928802349,H2AC21
107985203,16.583977675282465,-2.545750040271366,0.7457195234608913,-3.4138170722103616,0.000640595708025472,0.0330436665095312,LOC107985203
100507670,67.7443324326735,-2.1478034431715676,0.5255509945674804,-4.086765062521047,4.3742967404301065e-05,0.00934397155867117,ZNF687-AS1
89872,109.86323653978519,2.6159576298899916,0.6401792489418288,4.086289323207501,4.383271326168085e-05,0.00934397155867117,AQP10
101928120,206.16972447501158,-1.0860430633781406,0.33956914946130723,-3.1982972101589326,0.001382417234936183,0.047335832666683834,PYGO2-AS1
6464,2447.6081116648725,-1.3365301735041921,0.39566269417649697,-3.3779534769785333,0.0007302743445092426,0.03539712605833547,SHC1
8751,1191.268428171859,-1.509832745925437,0.35225015201852183,-4.286251509824893,1.817132507363742e-05,0.005501697856715353,ADAM15
5313,55.129608295991446,-1.7690416013231167,0.4937176687573421,-3.5831036911757463,0.0003395357459661184,0.02562498502793676,PKLR
4807,100.24216732560112,-3.104367814911526,0.6792848731280361,-4.570052915526053,4.876010823808711e-06,0.00344476442660448,NHLH1
9674,376.4835013098783,-1.8264465201430755,0.410040635105024,-4.454306143768572,8.416493515036436e-06,0.0038167529182897234,KIAA0040
101928933,32.01169561812355,-1.97979243657031,0.5983829503051868,-3.3085709336480553,0.0009377342680606287,0.0403722629059633,LOC101928933
